Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Date,YearMonth
18,3,2021,39,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,374,315,689,2021-03-18,2021-03
18,3,2023,39,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,481,405,886,2023-03-18,2023-03
18,4,2021,39,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,427,360,787,2021-04-18,2021-04
18,4,2023,39,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,267,225,492,2023-04-18,2023-04
1,3,2021,30,Young Adults (25-34),F,France,Yveline,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,323,315,638,2021-03-01,2021-03
1,3,2023,30,Young Adults (25-34),F,France,Yveline,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,185,180,365,2023-03-01,2023-03
3,10,2020,25,Young Adults (25-34),M,France,Essonne,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,491,315,806,2020-10-03,2020-10
3,10,2022,25,Young Adults (25-34),M,France,Essonne,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,491,315,806,2022-10-03,2022-10
5,6,2021,42,Adults (35-64),M,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,267,225,492,2021-06-05,2021-06
5,6,2023,42,Adults (35-64),M,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,267,225,492,2023-06-05,2023-06
20,2,2021,40,Adults (35-64),F,France,Essonne,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,562,354,916,2021-02-20,2021-02
20,2,2023,40,Adults (35-64),F,France,Essonne,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,468,295,763,2023-02-20,2023-02
9,8,2020,30,Young Adults (25-34),F,France,Val d'Oise,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,333,295,628,2020-08-09,2020-08
9,8,2022,30,Young Adults (25-34),F,France,Val d'Oise,Accessories,Bike Stands,All-Purpose Bike Stand,2,59,159,133,118,251,2022-08-09,2022-08
11,10,2020,33,Young Adults (25-34),M,France,Moselle,Accessories,Bike Stands,All-Purpose Bike Stand,4,59,159,324,236,560,2020-10-11,2020-10
11,10,2022,33,Young Adults (25-34),M,France,Moselle,Accessories,Bike Stands,All-Purpose Bike Stand,4,59,159,324,236,560,2022-10-11,2022-10
29,12,2020,44,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,357,295,652,2020-12-29,2020-12
29,12,2022,44,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bike Stands,All-Purpose Bike Stand,4,59,159,286,236,522,2022-12-29,2022-12
19,10,2020,30,Young Adults (25-34),F,France,Seine Saint Denis,Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,214,177,391,2020-10-19,2020-10
19,10,2022,30,Young Adults (25-34),F,France,Seine Saint Denis,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,71,59,130,2022-10-19,2022-10
6,1,2021,34,Young Adults (25-34),M,France,Loiret,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,495,354,849,2021-01-06,2021-01
6,1,2023,34,Young Adults (25-34),M,France,Loiret,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,495,354,849,2023-01-06,2023-01
19,4,2021,32,Young Adults (25-34),M,France,Seine (Paris),Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,214,177,391,2021-04-19,2021-04
19,4,2023,32,Young Adults (25-34),M,France,Seine (Paris),Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,214,177,391,2023-04-19,2023-04
31,12,2020,24,Youth (<25),M,France,Hauts de Seine,Accessories,Bike Stands,All-Purpose Bike Stand,10,59,159,889,590,1479,2020-12-31,2020-12
31,12,2022,24,Youth (<25),M,France,Hauts de Seine,Accessories,Bike Stands,All-Purpose Bike Stand,7,59,159,622,413,1035,2022-12-31,2022-12
14,5,2021,20,Youth (<25),F,France,Seine (Paris),Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,71,59,130,2021-05-14,2021-05
14,5,2023,20,Youth (<25),F,France,Seine (Paris),Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,71,59,130,2023-05-14,2023-05
10,8,2020,21,Youth (<25),F,France,Yveline,Accessories,Bike Stands,All-Purpose Bike Stand,7,59,159,433,413,846,2020-08-10,2020-08
10,8,2022,21,Youth (<25),F,France,Yveline,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,309,295,604,2022-08-10,2022-08
21,5,2021,23,Youth (<25),M,France,Seine et Marne,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,428,354,782,2021-05-21,2021-05
21,5,2023,23,Youth (<25),M,France,Seine et Marne,Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,214,177,391,2023-05-21,2023-05
3,11,2020,40,Adults (35-64),M,France,Val de Marne,Accessories,Bike Stands,All-Purpose Bike Stand,10,59,159,666,590,1256,2020-11-03,2020-11
3,11,2022,40,Adults (35-64),M,France,Val de Marne,Accessories,Bike Stands,All-Purpose Bike Stand,12,59,159,799,708,1507,2022-11-03,2022-11
15,4,2021,30,Young Adults (25-34),M,France,Loiret,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,495,354,849,2021-04-15,2021-04
15,4,2023,30,Young Adults (25-34),M,France,Loiret,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,413,295,708,2023-04-15,2023-04
1,7,2020,37,Adults (35-64),M,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,635,472,1107,2020-07-01,2020-07
1,7,2022,37,Adults (35-64),M,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,635,472,1107,2022-07-01,2022-07
4,4,2021,21,Youth (<25),F,France,Seine (Paris),Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,571,472,1043,2021-04-04,2021-04
4,4,2023,21,Youth (<25),F,France,Seine (Paris),Accessories,Bike Stands,All-Purpose Bike Stand,10,59,159,714,590,1304,2023-04-04,2023-04
20,4,2021,24,Youth (<25),M,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,238,177,415,2021-04-20,2021-04
20,4,2023,24,Youth (<25),M,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,79,59,138,2023-04-20,2023-04
11,9,2020,19,Youth (<25),M,France,Seine Saint Denis,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,571,472,1043,2020-09-11,2020-09
11,9,2022,19,Youth (<25),M,France,Seine Saint Denis,Accessories,Bike Stands,All-Purpose Bike Stand,9,59,159,642,531,1173,2022-09-11,2022-09
22,2,2021,22,Youth (<25),M,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,238,177,415,2021-02-22,2021-02
22,2,2023,22,Youth (<25),M,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,2,59,159,159,118,277,2023-02-22,2023-02
10,3,2021,60,Adults (35-64),F,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,9,59,159,714,531,1245,2021-03-10,2021-03
10,3,2023,60,Adults (35-64),F,France,Nord,Accessories,Bike Stands,All-Purpose Bike Stand,11,59,159,873,649,1522,2023-03-10,2023-03
27,11,2020,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,8,3,9,31,24,55,2020-11-27,2020-11
27,11,2022,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,9,3,9,35,27,62,2022-11-27,2022-11
18,1,2021,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,23,3,9,88,69,157,2021-01-18,2021-01
18,1,2021,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,28,3,9,108,84,192,2021-01-18,2021-01
18,1,2023,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,24,3,9,92,72,164,2023-01-18,2023-01
18,1,2023,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,25,3,9,96,75,171,2023-01-18,2023-01
21,5,2021,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,4,3,9,15,12,27,2021-05-21,2021-05
21,5,2021,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,10,3,9,38,30,68,2021-05-21,2021-05
21,5,2023,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,4,3,9,15,12,27,2023-05-21,2023-05
21,5,2023,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,11,3,9,42,33,75,2023-05-21,2023-05
28,9,2020,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,34,32,66,2020-09-28,2020-09
28,9,2020,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,53,50,103,2020-09-28,2020-09
28,9,2022,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,17,2,5,36,34,70,2022-09-28,2022-09
28,9,2022,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,53,50,103,2022-09-28,2022-09
15,1,2021,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,32,30,62,2021-01-15,2021-01
15,1,2021,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,29,28,57,2021-01-15,2021-01
15,1,2023,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,29,28,57,2023-01-15,2023-01
15,1,2023,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,29,28,57,2023-01-15,2023-01
24,4,2021,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,19,18,37,2021-04-24,2021-04
24,4,2021,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,2,2,4,2021-04-24,2021-04
24,4,2023,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,10,2,5,21,20,41,2023-04-24,2023-04
24,4,2023,42,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,6,6,12,2023-04-24,2023-04
9,7,2020,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,23,22,45,2020-07-09,2020-07
9,7,2020,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,25,24,49,2020-07-09,2020-07
9,7,2022,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,8,2,5,17,16,33,2022-07-09,2022-07
9,7,2022,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,25,24,49,2022-07-09,2022-07
5,6,2021,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,8,8,16,2021-06-05,2021-06
5,6,2021,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,29,28,57,2021-06-05,2021-06
5,6,2023,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,8,8,16,2023-06-05,2023-06
5,6,2023,35,Adults (35-64),M,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,25,24,49,2023-06-05,2023-06
6,7,2020,61,Adults (35-64),F,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,13,2,5,27,26,53,2020-07-06,2020-07
6,7,2020,61,Adults (35-64),F,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,29,2,5,61,58,119,2020-07-06,2020-07
6,7,2022,61,Adults (35-64),F,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,23,22,45,2022-07-06,2022-07
6,7,2022,61,Adults (35-64),F,France,Seine (Paris),Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,57,54,111,2022-07-06,2022-07
27,9,2020,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,26,2,5,59,52,111,2020-09-27,2020-09
27,9,2020,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,9,8,17,2020-09-27,2020-09
27,9,2022,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5,63,56,119,2022-09-27,2022-09
27,9,2022,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,2,2,5,5,4,9,2022-09-27,2022-09
13,1,2021,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,34,30,64,2021-01-13,2021-01
13,1,2021,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,36,32,68,2021-01-13,2021-01
13,1,2023,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,13,2,5,29,26,55,2023-01-13,2023-01
13,1,2023,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,32,28,60,2023-01-13,2023-01
2,11,2020,57,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,19,18,37,2020-11-02,2020-11
2,11,2020,57,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5,59,56,115,2020-11-02,2020-11
2,11,2022,57,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,7,2,5,15,14,29,2022-11-02,2022-11
2,11,2022,57,Adults (35-64),M,France,Seine Saint Denis,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,63,60,123,2022-11-02,2022-11
18,8,2020,37,Adults (35-64),F,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,60,50,110,2020-08-18,2020-08
18,8,2022,37,Adults (35-64),F,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,65,54,119,2022-08-18,2022-08
4,7,2021,37,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,32,30,62,2021-07-04,2021-07
4,7,2021,37,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,19,18,37,2021-07-04,2021-07
4,7,2023,37,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,25,24,49,2023-07-04,2023-07
4,7,2023,37,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,23,22,45,2023-07-04,2023-07
3,2,2021,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,18,3,9,102,54,156,2021-02-03,2021-02
3,2,2021,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,2,3,9,11,6,17,2021-02-03,2021-02
3,2,2023,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,15,3,9,85,45,130,2023-02-03,2023-02
3,2,2023,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,3,3,9,17,9,26,2023-02-03,2023-02
14,3,2021,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,21,3,9,118,63,181,2021-03-14,2021-03
14,3,2021,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,11,3,9,62,33,95,2021-03-14,2021-03
14,3,2023,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,20,3,9,113,60,173,2023-03-14,2023-03
14,3,2023,37,Adults (35-64),F,France,Essonne,Accessories,Bottles and Cages,Road Bottle Cage,9,3,9,51,27,78,2023-03-14,2023-03
22,7,2020,28,Young Adults (25-34),F,France,Charente-Maritime,Accessories,Bottles and Cages,Road Bottle Cage,12,3,9,70,36,106,2020-07-22,2020-07
22,7,2020,28,Young Adults (25-34),F,France,Charente-Maritime,Accessories,Bottles and Cages,Road Bottle Cage,30,3,9,175,90,265,2020-07-22,2020-07
22,7,2022,28,Young Adults (25-34),F,France,Charente-Maritime,Accessories,Bottles and Cages,Road Bottle Cage,10,3,9,58,30,88,2022-07-22,2022-07
22,7,2022,28,Young Adults (25-34),F,France,Charente-Maritime,Accessories,Bottles and Cages,Road Bottle Cage,27,3,9,157,81,238,2022-07-22,2022-07
6,11,2020,52,Adults (35-64),F,France,Nord,Accessories,Bottles and Cages,Road Bottle Cage,12,3,9,58,36,94,2020-11-06,2020-11
6,11,2022,52,Adults (35-64),F,France,Nord,Accessories,Bottles and Cages,Road Bottle Cage,14,3,9,68,42,110,2022-11-06,2022-11
4,12,2020,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,18,3,9,79,54,133,2020-12-04,2020-12
4,12,2022,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,17,3,9,74,51,125,2022-12-04,2022-12
1,2,2021,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,1,3,9,4,3,7,2021-02-01,2021-02
1,2,2023,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,1,3,9,4,3,7,2023-02-01,2023-02
4,5,2021,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,1,3,9,4,3,7,2021-05-04,2021-05
4,5,2021,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,6,3,9,26,18,44,2021-05-04,2021-05
4,5,2023,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,3,3,9,13,9,22,2023-05-04,2023-05
4,5,2023,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,6,3,9,26,18,44,2023-05-04,2023-05
12,3,2021,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,50,38,88,2021-03-12,2021-03
12,3,2021,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,8,2,5,21,16,37,2021-03-12,2021-03
12,3,2023,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,17,2,5,45,34,79,2023-03-12,2023-03
12,3,2023,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,10,2,5,27,20,47,2023-03-12,2023-03
3,6,2021,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,72,54,126,2021-06-03,2021-06
3,6,2021,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,80,60,140,2021-06-03,2021-06
3,6,2023,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5,74,56,130,2023-06-03,2023-06
3,6,2023,45,Adults (35-64),M,France,Hauts de Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,31,2,5,82,62,144,2023-06-03,2023-06
16,8,2020,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,26,3,9,114,78,192,2020-08-16,2020-08
16,8,2022,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,28,3,9,123,84,207,2022-08-16,2022-08
1,6,2021,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,17,3,9,74,51,125,2021-06-01,2021-06
1,6,2021,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,13,3,9,57,39,96,2021-06-01,2021-06
